Isolate,Phylotype,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO327,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,1,1,0,0,0,0,0
YO299,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO282,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,0,0,0,0,0,0,0
YO319,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,1,1,0,0,0,0,0
YO290,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO071,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,4,0,75,1,0,0,1,1,0,0,0,0,0
YO313,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,2,1,1,0,0,0,0,0
YO198,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,0,0,0,0,0,0
YO291,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO355,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,65,1,0,2,1,1,0,0,0,0,0
YO063,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,1,1,1,0,0,0,0,0
YO022,IIB,1,0,0,1,0,0,0,0,3,0,0,0,1,3,0,36,1,0,0,1,1,0,0,0,0,0
YO031,IIB,1,0,0,1,0,0,0,0,3,0,0,0,1,3,0,38,0,0,2,0,1,0,0,0,0,0
YO204.filtered.nanopore,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,0,0,1,1,1,0,0,0,0,0
YO380.unfiltered.nanopore,IIB,2,0,0,0,1,0,0,0,6,0,0,0,1,4,0,69,1,0,0,1,1,0,0,0,0,0
YO292,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,1,0,0,0,0,0
YO296,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO325,IIB,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO295,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,1,0,0,0,0,0
YO314,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,62,0,0,0,1,1,0,0,0,0,0
YO231,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,0,1,0,0,0,0,0,0
YO127,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO348,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,70,0,0,1,1,1,0,0,0,0,0
YO249,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,1,1,1,0,0,0,0,0
YO338,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,1,0,1,1,1,0,0,0,0,0
YO288,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,69,1,0,0,1,1,0,0,0,0,0
YO280,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO276,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO275,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,0,0,0,0,0,0
YO326,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,1,1,0,0,0,0,0,0
YO274,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO278,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,0,0,0,0,0,0
YO289,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,1,0,0,0,0,0
YO297,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,1,0,0,0,0,0
YO320,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,0,1,0,0,0,0,0
YO244,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,1,1,0,0,0,0,0,0
YO257,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,76,1,0,1,1,1,0,0,0,0,0
YO201,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,1,1,0,0,0,0,0,0
YO234,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,72,1,0,0,0,1,0,0,0,0,0
YO209,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO216,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,1,1,0,0,0,0,0,0
YO309,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,1,1,0,0,0,0,0,0
YO368,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO242,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,0,0,0,0,0,0
YO211,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,73,1,0,0,0,1,0,0,0,0,0
YO207,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO200,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,1,1,1,0,0,0,0,0
YO197,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,73,1,0,0,1,0,0,0,0,0,0
YO239,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO065,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,1,0,0,0,0,0
YO046,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,0,0,0,1,0,0,0,0,0,0
YO213,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,0,0,0,0,0,0
YO052,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,1,1,0,0,0,0,0
YO253,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,0,1,0,0,0,0,0
YO220,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,0,0,0,0,0,0
YO050,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,2,0,0,0,0,0,0,0
YO331,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,0,0,0,1,0,0,0,0,0,0
YO096,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,73,0,0,0,1,0,0,0,0,0,0
YO346,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,2,1,1,0,0,0,0,0
YO171,IIB,0,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO177,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,1,1,0,0,0,0,0,0
YO367,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,0,1,1,0,0,0,0,0
YO262,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,1,0,0,0,0,0,0,0
YO349,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO217,IIB,1,0,0,0,1,0,0,0,6,0,0,0,1,4,0,72,1,0,0,1,1,0,0,0,0,0
YO318,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO340,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,4,0,66,1,0,0,1,1,0,0,0,0,0
YO332,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,0,0,0,1,1,0,0,0,0,0
YO328,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,1,1,1,0,0,0,0,0
YO329,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,65,0,0,1,0,1,0,0,0,0,0
YO085,IIB,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0
YO053,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,1,0,0,0,0,0
YO090,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,0,0,1,1,1,0,0,0,0,0
YO359,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,1,1,0,0,0,0,0
YO158,IIB,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0
YO026,IIB,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,3,0
YO153,IIB,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
YO152.unfiltered.nanopore,IIB,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
YO159,IIB,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
YO160,IIB,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
YO036,IIB,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
YO035,IIB,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
YO089,IIB,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
YO032,IIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
YO157,IIB,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
YO190,IIB,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0
YO192,IIB,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,3,0,0
YO168,IIB,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0
YO188,IIB,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0
YO169,IIB,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0
YO374,IIB,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
YO373.nanopore,IIB,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
YO372.unfiltered.nanopore,IIB,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
YO039,IIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
YO142,IIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
YO043,IIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
YO111,IIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
YO041,IIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YO077,IIA,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO134,IIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
YO033,IIA,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO088,IIA,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,10,5,0,0,0,0,0,0,0
YO098,IIA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,10,5,0,0,0,0,0,0,0
YO189,IIA,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,6,3,0,0,0,0,0,0,0
YO381,IIA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,9,6,0,0,0,0,0,0,0
YO015,IIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,18,0,0,0,0,0,0,2,0
YO016,IIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0,0,0,0,2,0
YO014,IIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
YO021,I,0,0,2,0,2,0,0,1,6,4,6,4,5,1,7,0,1,0,6,7,2,6,0,0,5,2
YO018,I,0,0,2,0,2,0,0,1,6,3,7,4,5,1,6,2,1,0,10,5,1,7,0,0,5,2
YO191,I,0,0,2,0,2,0,0,1,9,3,4,2,5,1,6,0,0,0,8,6,4,8,0,0,5,1
YO080,I,0,0,2,0,2,0,0,1,6,5,4,3,5,1,6,0,1,0,8,7,2,8,0,0,2,3
YO156,I,0,0,2,0,2,0,0,1,6,5,7,3,5,1,6,0,1,0,8,9,1,8,0,0,5,3
YO020,I,0,0,2,0,2,0,0,1,7,5,7,5,5,1,5,0,2,0,9,7,3,9,0,0,5,3
YO081.nanopore,I,0,0,2,0,2,0,0,1,6,4,5,4,5,0,7,1,1,0,9,7,2,7,0,0,5,2
YO149,I,0,0,2,0,3,0,0,1,5,2,5,2,5,1,7,0,0,0,2,6,0,0,0,0,2,1
YO007,I,0,0,2,0,4,0,0,1,6,2,6,2,5,0,3,0,0,0,2,7,0,0,0,0,2,2
YO005,I,0,0,2,0,4,0,0,1,6,2,6,2,5,1,4,0,1,0,1,8,0,0,0,0,2,2
YO075,I,0,0,2,0,3,0,0,1,6,2,5,2,5,1,5,0,1,0,2,10,0,0,0,0,2,3
YO151,I,0,0,2,0,3,0,0,1,6,2,6,1,5,1,6,0,1,0,2,8,0,0,0,0,2,2
YO042,I,2,0,2,0,5,0,0,1,3,2,3,0,5,0,0,0,0,0,2,5,0,0,0,1,0,3
YO037,I,2,0,1,0,6,0,0,1,5,2,3,0,5,0,0,1,0,0,2,5,0,0,0,1,0,3
YO155,I,2,0,2,0,5,0,0,1,5,2,3,0,5,0,0,1,0,0,2,4,0,0,0,1,0,3
YO038,I,2,0,2,0,5,0,0,1,5,2,3,0,5,0,0,0,0,0,2,5,0,0,0,1,0,3
YO034.unfiltered.nanopore,I,2,0,2,0,5,0,0,1,6,2,3,0,5,0,0,0,0,0,1,5,0,0,0,0,0,3
YO130,I,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
YO150,I,1,0,0,0,0,0,0,1,2,1,1,0,4,0,0,1,0,0,3,3,0,0,0,0,0,3
YO187,I,0,0,0,0,0,0,0,5,1,0,0,1,4,1,0,0,0,0,1,5,0,0,0,0,1,6
YO027,I,2,0,0,0,5,0,0,1,3,1,1,0,4,1,0,3,9,0,8,6,1,0,1,0,0,0
YO074,I,2,0,0,0,8,0,0,1,3,1,1,0,4,1,0,2,8,0,6,8,0,0,1,0,0,0
YO154,I,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0
YO101.unfiltered.nanopore,I,0,0,0,0,5,5,0,0,1,6,0,0,2,0,0,6,12,0,3,7,4,0,1,0,10,0
YO028,I,2,0,0,0,0,0,0,1,3,4,1,0,4,1,0,2,6,19,4,5,0,0,1,0,1,0
YO133.unfiltered.nanopore,I,6,0,0,0,0,0,0,1,0,2,1,0,2,1,0,0,0,0,2,4,0,0,0,0,2,3
YO009,I,3,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,0,1,7,0,0,0,0,1,5
YO124,I,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
YO141,I,0,0,0,0,0,2,0,3,0,0,0,0,4,1,2,1,1,10,3,5,3,1,2,0,2,0
YO139,I,0,0,0,0,0,2,0,2,0,0,0,0,4,1,1,2,2,9,3,4,5,1,1,0,2,0
YO136,I,0,0,0,0,0,2,0,3,0,0,0,0,4,1,1,0,0,11,3,6,4,1,2,0,2,0
YO138,I,0,0,0,0,0,2,0,3,0,0,0,0,4,1,2,1,1,11,3,5,6,1,2,0,2,0
YO140,I,0,0,0,0,0,2,0,2,0,0,0,0,4,0,1,2,1,10,3,4,4,1,2,0,2,0
YO137,I,0,0,0,0,0,2,0,3,0,0,0,0,4,1,1,2,0,11,3,5,4,1,2,0,2,0
YO163,I,3,0,0,0,0,2,0,3,0,0,0,0,4,1,1,0,6,4,1,3,2,0,1,0,3,0
YO079,I,3,0,0,0,0,3,0,5,0,0,0,0,4,1,1,2,6,4,1,3,1,0,1,0,3,0
YO164,I,3,0,0,0,0,3,0,3,0,0,0,0,4,1,1,0,5,4,1,2,1,0,2,0,3,0
YO122,I,2,0,0,0,0,3,0,2,1,0,0,0,4,1,0,0,4,0,1,4,1,1,4,0,3,0
YO194,I,2,0,0,0,0,3,0,2,1,0,0,0,4,1,0,0,5,0,1,4,3,1,4,0,3,0
YO178,I,2,0,0,0,0,3,0,2,1,0,0,0,4,1,0,0,5,0,1,4,3,1,4,0,4,0
YO135.unfiltered.nanopore,I,2,0,0,0,0,3,0,2,1,0,0,0,4,1,0,0,6,0,1,3,2,1,4,0,2,0
YO193.nanopore,I,2,0,0,0,0,3,0,2,1,0,0,0,4,1,0,0,5,0,1,3,3,1,3,0,3,0
YO182,I,2,0,3,0,0,2,0,6,0,0,0,0,4,1,2,4,1,0,12,3,1,2,0,0,1,3
YO040,I,6,0,0,0,0,0,0,0,4,2,1,0,3,0,0,2,13,0,5,4,6,0,0,0,0,0
YO378,I,6,0,0,0,0,0,0,0,1,2,1,0,3,1,0,2,8,0,5,3,9,0,5,1,0,0
YO131,I,8,0,0,0,0,0,0,0,1,2,1,0,3,1,0,3,7,0,5,4,6,0,6,1,0,0
YO161,I,8,0,0,0,0,0,0,0,1,2,1,0,3,1,0,1,11,0,4,3,10,0,3,1,0,0
YO023,I,5,0,0,0,0,0,0,0,1,2,1,0,3,0,0,2,10,0,4,4,5,0,3,3,0,0
YO379,I,3,0,0,0,0,0,1,0,1,4,1,0,3,1,0,2,8,0,2,6,4,0,1,1,0,0
YO029,I,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,2,11,0,4,7,10,0,3,0,0,0
YO084,I,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
YO006.unfiltered.nanopore,I,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,9,0,6,5,6,0,4,0,0,0
YO083.nanopore,I,3,0,0,0,0,0,0,0,1,4,1,0,4,1,0,2,7,0,5,5,6,0,3,0,0,0
YO376.unfiltered.nanopore,I,0,0,0,0,0,0,0,0,1,2,1,0,4,0,0,1,6,0,3,5,6,0,4,0,0,0
YO375,I,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,2,9,0,2,3,11,0,3,0,0,0
YO024,I,3,0,0,0,0,0,0,1,1,4,1,0,3,1,0,3,0,1,7,8,0,0,0,0,0,0
YO030,I,3,0,0,0,0,0,0,1,1,4,1,0,3,1,0,3,0,1,6,9,0,0,0,0,0,0
YO003.unfiltered.nanopore,I,5,0,0,0,0,0,0,1,1,4,1,0,3,1,0,4,0,0,6,7,0,0,0,0,0,0
YO025,I,5,0,0,0,0,0,0,1,1,1,0,5,3,1,0,0,1,0,2,5,1,0,0,0,0,25
YO383,III,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
YO382,III,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0
YO384,III,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,1,0
YO076,III,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
YO001,III,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0
YO082.unfiltered.nanopore,III,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0
YO145,III,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
YO128,III,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
YO104,IV,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,1,0,2,0,12,0,0,0,0
YO106,IV,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0,11,0,0,0,0
YO102.unfiltered.nanopore,IV,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,1,0,9,0,0,0,0
YO099.nanopore,IV,1,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
YO119.nanopore,IV,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,60,0,0
